"article_title","author","journal","citations","year"
"The political business cycle","WD Nordhaus","The review of economic studies 42 (2), 169-190, 1975","5150","1975"
"Economie","PA Samuelson","Economica, 2005","3649","2005"
"A Review of the Stern Review on the Economics of Climate Change","WD Nordhaus","Journal of economic literature 45 (3), 686-702, 2007","2596","2007"
"A question of balance: Weighing the options on global warming policies","WD Nordhaus","Yale University Press, 2014","2107","2014"
"The impact of global warming on agriculture: a Ricardian analysis","R Mendelsohn, WD Nordhaus, D Shaw","The American economic review, 753-771, 1994","1959","1994"
"Managing the global commons: the economics of climate change","WD Nordhaus","MIT press, 1994","1869","1994"
"What is the value of scientific knowledge? An application to global warming using the PRICE model","WD Nordhaus, D Popp","The Energy Journal 18 (1), 1997","1735","1997"
"Warming the world: economic models of global warming","WD Nordhaus, J Boyer","MIT press, 2000","1689","2000"
"To slow or not to slow: the economics of the greenhouse effect","WD Nordhaus","The economic journal 101 (407), 920-937, 1991","1643","1991"
"Abrupt climate change","RB Alley, J Marotzke, WD Nordhaus, JT Overpeck, DM Peteet, RA Pielke, ...","science 299 (5615), 2005-2010, 2003","1323","2003"
"A regional dynamic general-equilibrium model of alternative climate-change strategies","WD Nordhaus, Z Yang","The American Economic Review, 741-765, 1996","1094","1996"
"Invention, growth and welfare: a theoretical treatment of technological change.","WD Nordhaus","MIT monographs in economics, 1969","998","1969"
"The death of economics","P Ormerod",": John Wiley & Sons, 1997","959","1997"
"The medium run","OJ Blanchard","Brookings Papers on Economic Activity, 89-141, 1997","890","1997"
"Is growth obsolete?","WD Nordhaus, J Tobin","The measurement of economic and social performance, 509-564, 1973","784","1973"
"An optimal transition path for controlling greenhouse gases","WD Nordhaus","Science 258 (5086), 1315-1319, 1992","766","1992"
"The allocation of energy resources","WD Nordhaus, H Houthakker, R Solow","Brookings papers on economic activity 1973 (3), 529-576, 1973","747","1973"
"Geography and macroeconomics: New data and new findings","WD Nordhaus","Proceedings of the National Academy of Sciences 103 (10), 3510-3517, 2006","663","2006"
"The productivity slowdown, measurement issues, and the explosion of computer power","MN Baily, RJ Gordon, WD Nordhaus, D Romer","Brookings papers on economic activity 1988 (2), 347-431, 1988","624","1988"
"Rolling the ‘DICE’: an optimal transition path for controlling greenhouse gases","WD Nordhaus","Resource and Energy Economics 15 (1), 27-50, 1993","580","1993"
"Modeling induced innovation in climate-change policy","WD Nordhaus","Technological change and the environment, 188-215, 2010","568","2010"
